College/School,Derived Residency,Gender,Ucb Level2 Ethnic Rollup Desc,Applicant Headcounts,Academic Yr,('SIRed')
Clg of Letters & Science,Out of State Domestic,Male,Chicano/Latino,0,2016-17,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Chicano/Latino,1,2017-18,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Decline to State,,2015-16,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Decline to State,0,2016-17,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Decline to State,0,2017-18,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Native American/Alaska Native,,2015-16,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Native American/Alaska Native,0,2017-18,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Pacific Islander,,2015-16,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,Pacific Islander,0,2017-18,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,White,5,2015-16,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,White,9,2016-17,(SIRed)
Clg of Letters & Science,Out of State Domestic,Male,White,5,2017-18,(SIRed)
Clg of Letters & Science,Unknown,Male,African American,2,2016-17,(SIRed)
Clg of Letters & Science,Unknown,Male,Chicano/Latino,1,2016-17,(SIRed)
Clg of Letters & Science,Unknown,Male,White,1,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,Asian,0,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,Chicano/Latino,,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,Chicano/Latino,0,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,Chicano/Latino,0,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,Decline to State,,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,Decline to State,2,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,Decline to State,0,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,White,,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Decline to State,White,0,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Female,African American,3,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Female,African American,1,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Female,African American,1,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Female,Asian,15,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Female,Asian,16,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Female,Asian,22,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Female,Chicano/Latino,11,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Female,Chicano/Latino,14,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Female,Chicano/Latino,16,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Female,Decline to State,6,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Female,Decline to State,3,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Female,Decline to State,0,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Female,Native American/Alaska Native,1,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Female,Native American/Alaska Native,1,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Female,Native American/Alaska Native,0,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Female,Pacific Islander,,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Female,Pacific Islander,0,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Female,White,19,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Female,White,26,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Female,White,33,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Male,African American,5,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Male,African American,3,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Male,African American,1,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Male,Asian,10,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Male,Asian,12,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Male,Asian,9,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Male,Chicano/Latino,7,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Male,Chicano/Latino,7,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Male,Chicano/Latino,6,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Male,Decline to State,1,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Male,Decline to State,2,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Male,Decline to State,1,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Male,Native American/Alaska Native,,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Male,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Male,Native American/Alaska Native,1,2017-18,(SIRed)
Clg of Natural Resources,CA Resident,Male,Pacific Islander,,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Male,Pacific Islander,1,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Male,White,15,2015-16,(SIRed)
Clg of Natural Resources,CA Resident,Male,White,13,2016-17,(SIRed)
Clg of Natural Resources,CA Resident,Male,White,12,2017-18,(SIRed)
Clg of Natural Resources,International,Female,International,12,2015-16,(SIRed)
Clg of Natural Resources,International,Female,International,13,2016-17,(SIRed)
Clg of Natural Resources,International,Female,International,17,2017-18,(SIRed)
Clg of Natural Resources,International,Male,International,10,2015-16,(SIRed)
Clg of Natural Resources,International,Male,International,9,2016-17,(SIRed)
Clg of Natural Resources,International,Male,International,10,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Decline to State,Decline to State,,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Decline to State,Decline to State,0,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,African American,,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,African American,0,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,Asian,,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,Asian,1,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,Chicano/Latino,,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,Chicano/Latino,0,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,Chicano/Latino,1,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,Native American/Alaska Native,0,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,White,,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,White,1,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Female,White,1,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,African American,0,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,African American,0,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Asian,,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Asian,0,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Asian,0,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Chicano/Latino,1,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Chicano/Latino,0,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Chicano/Latino,0,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Decline to State,0,2017-18,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Native American/Alaska Native,1,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,Pacific Islander,,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,White,1,2015-16,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,White,1,2016-17,(SIRed)
Clg of Natural Resources,Out of State Domestic,Male,White,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Decline to State,Asian,,2015-16,(SIRed)
Haas School of Business,CA Resident,Decline to State,Asian,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Decline to State,Chicano/Latino,0,2016-17,(SIRed)
Haas School of Business,CA Resident,Decline to State,Chicano/Latino,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Decline to State,Decline to State,,2015-16,(SIRed)
Haas School of Business,CA Resident,Decline to State,Decline to State,5,2016-17,(SIRed)
Haas School of Business,CA Resident,Decline to State,Decline to State,1,2017-18,(SIRed)
Haas School of Business,CA Resident,Decline to State,White,,2015-16,(SIRed)
Haas School of Business,CA Resident,Decline to State,White,0,2016-17,(SIRed)
Haas School of Business,CA Resident,Decline to State,White,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Female,African American,,2015-16,(SIRed)
Haas School of Business,CA Resident,Female,African American,2,2016-17,(SIRed)
Haas School of Business,CA Resident,Female,African American,1,2017-18,(SIRed)
Haas School of Business,CA Resident,Female,Asian,9,2015-16,(SIRed)
Haas School of Business,CA Resident,Female,Asian,10,2016-17,(SIRed)
Haas School of Business,CA Resident,Female,Asian,9,2017-18,(SIRed)
Haas School of Business,CA Resident,Female,Chicano/Latino,3,2015-16,(SIRed)
Haas School of Business,CA Resident,Female,Chicano/Latino,6,2016-17,(SIRed)
Haas School of Business,CA Resident,Female,Chicano/Latino,6,2017-18,(SIRed)
Haas School of Business,CA Resident,Female,Decline to State,1,2015-16,(SIRed)
Haas School of Business,CA Resident,Female,Decline to State,2,2016-17,(SIRed)
Haas School of Business,CA Resident,Female,Decline to State,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Female,Native American/Alaska Native,1,2015-16,(SIRed)
Haas School of Business,CA Resident,Female,Native American/Alaska Native,0,2016-17,(SIRed)
Haas School of Business,CA Resident,Female,Native American/Alaska Native,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Female,Pacific Islander,,2015-16,(SIRed)
Haas School of Business,CA Resident,Female,Pacific Islander,0,2016-17,(SIRed)
Haas School of Business,CA Resident,Female,Pacific Islander,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Female,White,12,2015-16,(SIRed)
Haas School of Business,CA Resident,Female,White,14,2016-17,(SIRed)
Haas School of Business,CA Resident,Female,White,12,2017-18,(SIRed)
Haas School of Business,CA Resident,Male,African American,4,2015-16,(SIRed)
Haas School of Business,CA Resident,Male,African American,2,2016-17,(SIRed)
Haas School of Business,CA Resident,Male,African American,3,2017-18,(SIRed)
Haas School of Business,CA Resident,Male,Asian,16,2015-16,(SIRed)
Haas School of Business,CA Resident,Male,Asian,18,2016-17,(SIRed)
Haas School of Business,CA Resident,Male,Asian,14,2017-18,(SIRed)
Haas School of Business,CA Resident,Male,Chicano/Latino,10,2015-16,(SIRed)
Haas School of Business,CA Resident,Male,Chicano/Latino,8,2016-17,(SIRed)
Haas School of Business,CA Resident,Male,Chicano/Latino,17,2017-18,(SIRed)
Haas School of Business,CA Resident,Male,Decline to State,,2015-16,(SIRed)
Haas School of Business,CA Resident,Male,Decline to State,0,2016-17,(SIRed)
Haas School of Business,CA Resident,Male,Decline to State,3,2017-18,(SIRed)
Haas School of Business,CA Resident,Male,Native American/Alaska Native,,2015-16,(SIRed)
Haas School of Business,CA Resident,Male,Native American/Alaska Native,0,2016-17,(SIRed)
Haas School of Business,CA Resident,Male,Native American/Alaska Native,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Male,Pacific Islander,,2015-16,(SIRed)
Haas School of Business,CA Resident,Male,Pacific Islander,0,2016-17,(SIRed)
Haas School of Business,CA Resident,Male,Pacific Islander,0,2017-18,(SIRed)
Haas School of Business,CA Resident,Male,White,13,2015-16,(SIRed)
Haas School of Business,CA Resident,Male,White,21,2016-17,(SIRed)
Haas School of Business,CA Resident,Male,White,18,2017-18,(SIRed)
Haas School of Business,International,Decline to State,International,,2015-16,(SIRed)
Haas School of Business,International,Decline to State,International,0,2016-17,(SIRed)
Haas School of Business,International,Decline to State,International,0,2017-18,(SIRed)
Haas School of Business,International,Female,International,9,2015-16,(SIRed)
Haas School of Business,International,Female,International,3,2016-17,(SIRed)
Haas School of Business,International,Female,International,6,2017-18,(SIRed)
Haas School of Business,International,Male,International,10,2015-16,(SIRed)
Haas School of Business,International,Male,International,9,2016-17,(SIRed)
Haas School of Business,International,Male,International,5,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Decline to State,Decline to State,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Decline to State,Decline to State,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Decline to State,White,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Female,African American,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Female,African American,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Female,African American,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Female,Asian,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Female,Asian,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Female,Asian,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Female,Chicano/Latino,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Female,Chicano/Latino,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Female,Chicano/Latino,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Female,Decline to State,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Female,Decline to State,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Female,Decline to State,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Female,White,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Female,White,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Female,White,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Male,African American,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Male,African American,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Male,African American,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Male,Asian,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Male,Asian,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Male,Asian,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Male,Chicano/Latino,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Male,Chicano/Latino,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Male,Chicano/Latino,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Male,Decline to State,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Male,Decline to State,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Male,Decline to State,0,2017-18,(SIRed)
Haas School of Business,Out of State Domestic,Male,Native American/Alaska Native,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Male,White,,2015-16,(SIRed)
Haas School of Business,Out of State Domestic,Male,White,0,2016-17,(SIRed)
Haas School of Business,Out of State Domestic,Male,White,2,2017-18,(SIRed)
